province,city_name,一九九七,一九九八,一九九九,二零零零,二零零一,二零零二,二零零三,二零零四,二零零五,二零零六,二零零七,二零零八,二零零九,二零一零,二零一一,二零一二,二零一三,总计
广东,汇总,3308.26,3672.97,3968.38,4211.97,4553.42,4962.4,5319.05,6090.2,6597.11,7872.87,9534.42,6601.01,8857.08,14556.46,15996.12,13655.79,21152.36,140909.87
广西,百色,136.96,140.29,131.22,140.39,151.78,162.81,177.45,205.16,247.32,300.25,353.49,322.96,345.6,444.37,655.13,582.79,792.39,5290.36
广西,崇左,86.87,96.59,83.84,83.8,95.95,101.53,93.43,113,150.28,194.65,235.59,218.74,236.47,298.82,475.97,401.3,557.68,3524.51
广西,防城港,17.84,20.42,21,22.41,23.94,25.4,23.07,26.36,28.54,37.31,47.77,60.32,66.84,87.52,107.19,121.42,138.37,875.72
广西,贵港,60.18,54.62,57.46,56.5,60,63.69,76.4,94.13,112.34,128.07,168.83,202.24,229.75,289.15,348.94,376.53,418.57,2797.4
广西,桂林,219.17,217.41,183.16,196.18,209.63,223.73,238.17,280.43,354.83,405.09,504.82,611.54,639.92,760.69,936,1058.14,1187.13,8226.04
广西,河池,131.01,139.58,139.38,148.41,154.03,144.76,138.79,167.91,204.37,246.39,318.08,297.93,294.34,359.91,504.44,383.1,497.93,4270.36
广西,贺州,110.61,114.57,88.45,94.54,102.22,108.56,100.67,123.66,165.88,188.07,234.25,114.1,103.79,125.55,268.3,161.57,403.18,2607.97
广西,来宾,89.62,83.28,81.45,88.36,96.99,102.83,119.27,136.45,174.48,181.55,244.69,135.41,147.36,186.27,515.83,272.68,519.5,3176.02
广西,柳州,85.18,82.21,81.39,88.24,97,105.7,107.45,128.22,160,187.94,244.62,289.45,337.22,404.19,468.54,496.9,521.99,3886.24
广西,南宁,170.67,171.99,159.12,162.72,170.72,182.66,199.26,229.82,230.06,265.89,324.97,374.59,420.4,500.88,680.33,716.01,826.78,5786.87
广西,钦州,65.7,59.74,64.04,68.67,75.12,79.5,78.97,88.91,106.35,121.32,145.34,173.51,171.93,195.81,229.76,256.7,282.87,2264.24
广西,梧州,107.21,111.85,71.68,75.5,81.28,88.94,85.85,105.84,135.98,158.16,209.4,263.61,296.24,399.62,491.98,548.04,613.25,3844.43
广西,玉林,185.74,148.77,150.43,155.56,164.45,168.57,167.71,210.35,237.13,274.8,340.95,407.75,454.77,572.4,729.51,791.75,847.48,6008.12
广西,汇总,1466.76,1441.32,1312.62,1381.28,1483.11,1558.68,1606.49,1910.24,2307.56,2689.49,3372.8,3472.15,3744.63,4625.18,6411.92,6166.93,7607.12,52558.28
